Content,Video title,Video publish time,Duration,Thumbnail impressions,Thumbnail click-through rate (%),Views,Average view duration,Watch time (hours)
AaVvlNWtWC0,Sped up Tate choreo EATS 🔥 #tatemcrae #shorts #dancevideo,"Jul 15, 2026",16,164,6.1,23,0:00:10,0.0391
g2oR0Aw9dt4,The floor choreo almost took me out trying to levitate like Daniela... 🚶‍♂️💨 #dancefails #shorts,"Jul 19, 2026",39,201,0.5,23,0:00:19,0.0592
jtjeQz54vRc,ITS OK IM OK #tiktokdance #tatemcrae,"Jul 12, 2026",11,150,1.33,22,0:00:09,0.0335
ANYpiNT-yco,Iconic by Mistake Dance Break Fail 😏  #dance #dancetok,"Jul 6, 2026",33,144,1.39,22,0:00:20,0.0566
3cL_q_h_4fY,ILLIT ICONIC BY MISTAKE DANCE VERSION #illit #fyp #kpop,"Jul 13, 2026",16,180,0.56,22,0:00:08,0.0328
yDBUaYLmKhY,sometimes you just gotta pinky up #katseye #danceshorts #pinkyup #eyekons,"Jun 21, 2026",19,138,0.72,21,0:00:08,0.0267
9SuYGQdYv0M,‘U DA CAKE’ Che Mario - Dance Challenge #ayodesci #shortsfeed #ytshorts #ytshortsvideo #ytviral #yt,"Jul 19, 2026",11,198,1.01,20,0:00:12,0.0183
E9Kb_TilGXY,Pinky Up TikTok Dance 🪩💖 #shorts #katseye #tiktokdance,"Jul 8, 2026",15,152,1.32,18,0:00:10,0.0181
F7bf8lFnKqU,guys the wind almost took me out #shorts #dance,"Jul 7, 2026",19,145,1.38,18,0:00:09,0.0283
0IR8ZIgqOLY,On Your Mind #tiktokdance,"Jul 8, 2026",31,118,1.69,18,0:00:19,0.0492
ab9niic074I,If 'Pinky Up' & 'Gnarly' Had a Baby💅Katseye GRAMMY Dance Break #ayodesci #katseye #wildhearts #kpop,,14,148,2.7,16,0:00:32,0.0492
gU_wBWxA5BI,"They said iconic by mistake, but I told them to PINKY UP #dance #katseye #duet","Jun 22, 2026",14,116,0,15,0:00:09,0.0118
x2IZSQKWDXI,hootie frutti,,23,63,6.35,15,0:00:53,0.0754
CLYMe10Cops,is there something ON YOUR MIND? 🤨 #dance #fkatwigs #dancer,"Jul 7, 2026",30,132,0.76,14,0:00:18,0.0248
vlR1hIGU1yA,NOT HE PUSHED ME OUT THE WAY #shorts #mlm #leakit,"Jul 6, 2026",18,146,0,13,0:00:12,0.0229
JF8XdVHGDjg,sunrise,,16,258,1.55,11,0:00:17,0.0211
